01:42:04:160 [ALWAYS]	GUDE Logging Started
01:42:04:160 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:42:04:160 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:42:04:160 [ERROR]	Initialize resume cache pointer failure
01:42:04:161 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
01:42:04:161 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
01:42:10:278 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
01:42:10:278 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
01:42:10:278 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
01:42:10:278 [ERROR]	Initialize resume cache pointer failure
01:42:10:278 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
01:42:10:278 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
